指标,2022年,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年
农村居民人均粮食消费量(千克),164.6,170.8,168.4,154.8,148.5,154.6,157.2,159.5,167.6,178.5
农村居民人均食用油消费量(千克),10.8,11.7,11,9.8,9.9,10.1,10.2,10.1,9.8,10.3
农村居民人均蔬菜及食用菌消费量(千克),104.6,107,95.8,89.5,87.5,90.2,91.5,90.3,88.9,90.6
农村居民人均肉类消费量(千克),33.7,30.9,21.4,24.7,27.5,23.6,22.7,23.1,22.5,22.4
农村居民人均禽类消费量(千克),11.4,12.4,12.4,10,8,7.9,7.9,7.1,6.7,6.2
农村居民人均水产品消费量(千克),10.7,10.9,10.3,9.6,7.8,7.4,7.5,7.2,6.8,6.6
农村居民人均蛋类消费量(千克),13.1,13,11.8,9.6,8.4,8.9,8.5,8.3,7.2,7
农村居民人均奶类消费量(千克),8.4,9.3,7.4,7.3,6.9,6.9,6.6,6.3,6.4,5.7
农村居民人均干鲜瓜果类消费量(千克),46.7,52.4,43.8,43.3,39.9,38.4,36.8,32.3,30.3,29.5
农村居民人均食糖消费量(千克),1.5,1.5,1.4,1.4,1.3,1.4,1.4,1.3,1.3,1.2
